State,Library ID,Submission Year,Library Name,Street Address,City,Zip Code,Longitude,Latitude,State Code,County Code,County,County Population,Print_Collection_Expenditures,Digital_Collection_Expenditures,Total Collection Expenditures,Total Operating Expenditures,Print Collection,Digital Collection,Audio Collection,Library Visits,Registered Users
AK,AK0001,2015,ANCHOR POINT PUBLIC LIBRARY,72551 MILO FRITZ AVENUE,ANCHOR POINT,99556,-151.8400068,59.7796042,2,122,KENAI PENINSULA,57477,3021.0,0.0,4030.0,21282.0,16843.0,0.0,258.0,5379.0,396.0
AK,AK0002,2015,ANCHORAGE PUBLIC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,-149.876781,61.187677,2,20,ANCHORAGE,301010,700747.0,198422.0,1152280.0,10910542.0,481861.0,9773.0,28552.0,942873.0,119619.0
AK,AK0003,2015,ANDERSON VILLAGE LIBRARY,101 FIRST STREET,ANDERSON,99744,-149.1786346,64.3435982,2,68,DENALI,1921,2206.0,425.0,3508.0,11449.0,15304.0,0.0,48.0,874.0,161.0
AK,AK0006,2015,KUSKOKWIM CONSORTIUM LIBRARY,420 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,99559,-161.8029566,60.7857552,2,50,BETHEL,17868,8295.0,1635.0,14801.0,261212.0,34115.0,165.0,434.0,44980.0,1500.0
AK,AK0007,2015,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,-149.818403,61.546612,2,170,MATANUSKA-SUSITNA,97882,21552.0,0.0,21552.0,347675.0,23810.0,9773.0,1813.0,43285.0,3878.0
AK,AK0008,2015,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,-148.757407,63.461051,2,68,DENALI,1921,4846.0,0.0,5483.0,20720.0,14550.0,0.0,208.0,3000.0,170.0
AK,AK0011,2015,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,-152.2325806,57.6122291,2,150,KODIAK ISLAND,13986,4123.0,224.0,6148.0,78540.0,4893.0,40.0,246.0,1029.0,55.0
AK,AK0014,2015,COLD BAY PUBLIC LIBRARY,10 BARANOV ROAD,COLD BAY,99571,-162.7133916,55.206634,2,13,ALEUTIANS EAST,3360,2164.0,0.0,3938.0,71103.0,7033.0,5.0,191.0,1600.0,105.0
AK,AK0015,2015,COOPER LANDING COMMUNITY LIBRARY,MILE .8 BEAN CREEK ROAD,COOPER LANDING,99572,-150.010519,60.487401,2,122,KENAI PENINSULA,57477,4788.0,0.0,5288.0,30060.0,3778.0,121.0,219.0,3349.0,545.0
AK,AK0016,2015,CORDOVA PUBLIC LIBRARY,622 FIRST STREET,CORDOVA,99574,-145.766031,60.5479952,2,261,VALDEZ-CORDOVA,9488,9164.0,1500.0,11016.0,469985.0,20459.0,9773.0,350.0,22918.0,2073.0
AK,AK0017,2015,CRAIG PUBLIC LIBRARY,504 THIRD STREET,CRAIG,99921,-133.1514564,55.4761261,2,198,PR WALES-OUTER KE,6396,20605.0,1100.0,28265.0,192281.0,9981.0,10120.0,195.0,18370.0,2729.0
AK,AK0018,2015,IPNATCHIAQ LIBRARY,59 MAIN STREET,DEERING,99736,0.0,0.0,2,188,NORTHWEST ARCTIC,7717,100.0,0.0,100.0,9636.0,10738.0,31.0,425.0,300.0,32.0
