State,Library ID,Submission Year,Library Name,Street Address,City,Zip Code,Longitude,Latitude,State Code,County Code,County,County Population,Print_Collection_Expenditures,Digital_Collection_Expenditures,Total Collection Expenditures,Total Operating Expenditures,Print Collection,Digital Collection,Audio Collection,Library Visits,Registered Users,Name,median_household_income,total_population,median_age,per_capita,education_none,education_high_school,education_ged,education_associates,education_bachelors,education_masters,education_professional,education_doctorate,state,zipcode,year,education_none_perc,education_high_school_perc,education_ged_perc,education_associates_perc,education_bachelors_perc,education_masters_perc,education_professional_perc,education_doctorate_perc
AK,AK0001,2015,ANCHOR POINT PUBLIC LIBRARY,72551 MILO FRITZ AVENUE,ANCHOR POINT,99556,-151.8400068,59.7796042,2,122,KENAI PENINSULA,57477,3021.0,0.0,4030.0,21282.0,16843.0,0.0,258.0,5379.0,396.0,ZCTA5 99556,2497.0,43043.0,48.3,27257.0,28.0,521.0,108.0,140.0,220.0,66.0,16.0,5.0,2.0,99556.0,2015.0,0.0650512278419255,1.2104174894872568,0.2509118788188555,0.3252561392096276,0.5111167901865576,0.1533350370559673,0.037172130195386,0.0116162906860581
AK,AK0002,2015,ANCHORAGE PUBLIC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,-149.876781,61.187677,2,20,ANCHORAGE,301010,700747.0,198422.0,1152280.0,10910542.0,481861.0,9773.0,28552.0,942873.0,119619.0,ZCTA5 99503,14107.0,46819.0,34.0,27693.0,221.0,2437.0,554.0,642.0,1212.0,496.0,185.0,23.0,2.0,99503.0,2015.0,0.4720305858732566,5.20515175462953,1.1832802921890686,1.3712381725367906,2.5886926247890814,1.059398961959888,0.3951387257310066,0.0491253550908819
AK,AK0003,2015,ANDERSON VILLAGE LIBRARY,101 FIRST STREET,ANDERSON,99744,-149.1786346,64.3435982,2,68,DENALI,1921,2206.0,425.0,3508.0,11449.0,15304.0,0.0,48.0,874.0,161.0,ZCTA5 99744,160.0,87708.0,44.5,43698.0,0.0,20.0,10.0,17.0,23.0,15.0,0.0,0.0,2.0,99744.0,2015.0,0.0,0.0228029370182879,0.0114014685091439,0.0193824964655447,0.0262233775710311,0.0171022027637159,0.0,0.0
AK,AK0006,2015,KUSKOKWIM CONSORTIUM LIBRARY,420 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,99559,-161.8029566,60.7857552,2,50,BETHEL,17868,8295.0,1635.0,14801.0,261212.0,34115.0,165.0,434.0,44980.0,1500.0,ZCTA5 99559,7869.0,72381.0,29.2,25400.0,24.0,1431.0,327.0,180.0,559.0,207.0,69.0,42.0,2.0,99559.0,2015.0,0.033157872922452,1.9770381730012017,0.4517760185684089,0.2486840469183902,0.7723021234854451,0.2859866539561487,0.0953288846520495,0.058026277614291
AK,AK0007,2015,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,-149.818403,61.546612,2,170,MATANUSKA-SUSITNA,97882,21552.0,0.0,21552.0,347675.0,23810.0,9773.0,1813.0,43285.0,3878.0,ZCTA5 99652,4059.0,68661.0,38.7,30451.0,5.0,767.0,152.0,188.0,324.0,84.0,31.0,5.0,2.0,99652.0,2015.0,0.0072821543525436,1.1170824776801969,0.2213774923173271,0.2738090036556415,0.4718836020448289,0.1223401931227334,0.0451493569857706,0.0072821543525436
AK,AK0008,2015,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,-148.757407,63.461051,2,68,DENALI,1921,4846.0,0.0,5483.0,20720.0,14550.0,0.0,208.0,3000.0,170.0,ZCTA5 99729,222.0,56094.0,48.5,32050.0,0.0,61.0,5.0,8.0,24.0,8.0,1.0,0.0,2.0,99729.0,2015.0,0.0,0.108746033443862,0.0089136092986772,0.0142617748778835,0.0427853246336506,0.0142617748778835,0.0017827218597354,0.0
AK,AK0011,2015,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,-152.2325806,57.6122291,2,150,KODIAK ISLAND,13986,4123.0,224.0,6148.0,78540.0,4893.0,40.0,246.0,1029.0,55.0,ZCTA5 99615,13197.0,72574.0,32.1,30857.0,49.0,1810.0,351.0,819.0,1534.0,422.0,76.0,40.0,2.0,99615.0,2015.0,0.0675172926943533,2.4940061178934605,0.483644280320776,1.1285033207484774,2.113704632513021,0.5814754595309615,0.1047206988728745,0.0551161573015129
AK,AK0014,2015,COLD BAY PUBLIC LIBRARY,10 BARANOV ROAD,COLD BAY,99571,-162.7133916,55.206634,2,13,ALEUTIANS EAST,3360,2164.0,0.0,3938.0,71103.0,7033.0,5.0,191.0,1600.0,105.0,ZCTA5 99571,88.0,78125.0,45.8,46750.0,0.0,30.0,4.0,9.0,7.0,2.0,0.0,0.0,2.0,99571.0,2015.0,0.0,0.0384,0.0051199999999999,0.0115199999999999,0.00896,0.0025599999999999,0.0,0.0
AK,AK0015,2015,COOPER LANDING COMMUNITY LIBRARY,MILE .8 BEAN CREEK ROAD,COOPER LANDING,99572,-150.010519,60.487401,2,122,KENAI PENINSULA,57477,4788.0,0.0,5288.0,30060.0,3778.0,121.0,219.0,3349.0,545.0,ZCTA5 99572,457.0,64301.0,63.1,36337.0,0.0,73.0,0.0,11.0,122.0,105.0,0.0,0.0,2.0,99572.0,2015.0,0.0,0.1135285609866098,0.0,0.0171070434363384,0.189732663566663,0.1632945055286854,0.0,0.0
AK,AK0016,2015,CORDOVA PUBLIC LIBRARY,622 FIRST STREET,CORDOVA,99574,-145.766031,60.5479952,2,261,VALDEZ-CORDOVA,9488,9164.0,1500.0,11016.0,469985.0,20459.0,9773.0,350.0,22918.0,2073.0,ZCTA5 99574,2696.0,84716.0,49.4,44642.0,0.0,472.0,21.0,131.0,469.0,196.0,0.0,26.0,2.0,99574.0,2015.0,0.0,0.557155673072383,0.0247887057934746,0.1546343075688181,0.553614429387601,0.2313612540724302,0.0,0.0306907786014448
AK,AK0017,2015,CRAIG PUBLIC LIBRARY,504 THIRD STREET,CRAIG,99921,-133.1514564,55.4761261,2,198,PR WALES-OUTER KE,6396,20605.0,1100.0,28265.0,192281.0,9981.0,10120.0,195.0,18370.0,2729.0,ZCTA5 99921,1950.0,61908.0,37.8,30069.0,0.0,366.0,98.0,57.0,203.0,79.0,7.0,14.0,2.0,99921.0,2015.0,0.0,0.5911998449311882,0.1582994120307553,0.0920721069974801,0.3279059249208503,0.1276087096982619,0.0113071008593396,0.0226142017186793
AK,AK0018,2015,IPNATCHIAQ LIBRARY,59 MAIN STREET,DEERING,99736,0.0,0.0,2,188,NORTHWEST ARCTIC,7717,100.0,0.0,100.0,9636.0,10738.0,31.0,425.0,300.0,32.0,ZCTA5 99736,144.0,50000.0,28.4,16429.0,0.0,43.0,7.0,3.0,5.0,3.0,0.0,0.0,2.0,99736.0,2015.0,0.0,0.086,0.0139999999999999,0.006,0.01,0.006,0.0,0.0
AK,AK0019,2015,DELTA COMMUNITY LIBRARY,2291 DEBORAH STREET,DELTA JUNCTION,99737,-145.7334852,64.0465711,2,240,SE FAIRBANK,6931,8157.0,0.0,9157.0,202197.0,15911.0,9773.0,622.0,46008.0,6026.0,ZCTA5 99737,5005.0,73205.0,35.6,33851.0,2.0,975.0,85.0,337.0,450.0,192.0,4.0,6.0,2.0,99737.0,2015.0,0.0027320538214602,1.331876237961888,0.116112287412062,0.4603510689160576,0.6147121098285636,0.2622771668601871,0.0054641076429205,0.0081961614643808
AK,AK0020,2015,DILLINGHAM PUBLIC LIBRARY,306 D STREET WEST,DILLINGHAM,99576,-158.4667361,59.0402542,2,70,DILLINGHAM,4988,8236.0,0.0,11042.0,181014.0,23669.0,9773.0,1034.0,40202.0,2497.0,ZCTA5 99576,2464.0,66250.0,31.7,29987.0,13.0,404.0,77.0,152.0,242.0,83.0,23.0,6.0,2.0,99576.0,2015.0,0.0196226415094339,0.609811320754717,0.1162264150943396,0.2294339622641509,0.3652830188679245,0.1252830188679245,0.0347169811320754,0.0090566037735849
AK,AK0023,2015,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,1215 COWLES STREET,FAIRBANKS,99701,-147.738617,64.838318,2,90,FAIRBANKS NORTH STAR,99357,364265.0,171313.0,639918.0,5972128.0,325687.0,14828.0,21644.0,316711.0,56977.0,ZCTA5 99701,18900.0,51637.0,30.4,28460.0,90.0,2797.0,768.0,990.0,1892.0,544.0,144.0,121.0,2.0,99701.0,2015.0,0.1742936266630517,5.4166585975172845,1.4873056141913743,1.9172298932935683,3.664039351627709,1.0535081433855569,0.2788698026608827,0.2343280980692139
AK,AK0025,2015,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,299 ANTOSKI ROAD,GALENA,99741,-156.8723252,64.7480237,2,290,YUKON-KOYUKUK,5547,3311.0,0.0,3510.0,32457.0,9549.0,0.0,0.0,3720.0,400.0,ZCTA5 99741,554.0,63333.0,36.0,29140.0,6.0,81.0,5.0,12.0,67.0,37.0,1.0,2.0,2.0,99741.0,2015.0,0.0094737340722845,0.1278954099758419,0.0078947783935704,0.0189474681445691,0.1057900304738446,0.0584213601124216,0.001578955678714,0.0031579113574281
AK,AK0027,2015,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,99588,-146.050333,62.198412,2,261,VALDEZ-CORDOVA,9488,5045.0,699.0,6343.0,39552.0,18531.0,16.0,708.0,6377.0,790.0,ZCTA5 99588,936.0,50938.0,35.9,20005.0,12.0,165.0,35.0,37.0,55.0,82.0,16.0,8.0,2.0,99588.0,2015.0,0.0235580509639169,0.3239232007538576,0.068710981978091,0.0726373238054104,0.1079744002512858,0.1609800149200989,0.0314107346185558,0.0157053673092779
AK,AK0028,2015,GUSTAVUS PUBLIC LIBRARY,14 GUSTAVUS ROAD,GUSTAVUS,99826,-135.726709,58.4130833,2,105,SKAGWAY-ANGOON,2082,6381.0,600.0,6981.0,74718.0,12262.0,9773.0,112.0,10311.0,750.0,ZCTA5 99826,496.0,57639.0,52.9,39357.0,0.0,60.0,15.0,28.0,146.0,42.0,22.0,7.0,2.0,99826.0,2015.0,0.0,0.1040961848748243,0.026024046218706,0.0485782196082513,0.2533007165287392,0.072867329412377,0.0381686011207689,0.0121445549020628
AK,AK0029,2015,HAINES BOROUGH PUBLIC LIBRARY,111 THIRD AVENUE SOUTH,HAINES,99827,-135.4480632,59.232844,2,100,HAINES,2566,14426.0,1500.0,18176.0,478073.0,32415.0,9773.0,2623.0,87933.0,2316.0,ZCTA5 99827,2626.0,58700.0,45.8,33729.0,2.0,506.0,45.0,136.0,475.0,148.0,62.0,20.0,2.0,99827.0,2015.0,0.0034071550255536,0.8620102214650767,0.0766609880749574,0.231686541737649,0.8091993185689949,0.252129471890971,0.1056218057921635,0.0340715502555366
AK,AK0030,2015,TRI-VALLEY COMMUNITY LIBRARY,400 SUNTRANA STREET,HEALY,99743,-149.0170333,63.8734912,2,68,DENALI,1921,6281.0,1500.0,8248.0,34113.0,27668.0,9773.0,1005.0,5532.0,969.0,ZCTA5 99743,1130.0,86250.0,36.8,35746.0,0.0,167.0,5.0,61.0,152.0,52.0,13.0,13.0,2.0,99743.0,2015.0,0.0,0.1936231884057971,0.0057971014492753,0.0707246376811594,0.176231884057971,0.0602898550724637,0.0150724637681159,0.0150724637681159
AK,AK0032,2015,HOMER PUBLIC LIBRARY,500 HAZEL AVENUE,HOMER,99603,-151.544299,59.640502,2,122,KENAI PENINSULA,57477,64200.0,6409.0,82751.0,799213.0,39354.0,9773.0,2097.0,124102.0,10193.0,ZCTA5 99603,10130.0,57622.0,38.6,30310.0,46.0,1168.0,401.0,536.0,1388.0,653.0,91.0,83.0,2.0,99603.0,2015.0,0.0798306202492103,2.0270035750234285,0.6959147547811599,0.9302002707299296,2.4088021936066086,1.13324771788553,0.1579257922321335,0.1440422061018361
AK,AK0035,2015,JUNEAU PUBLIC LIBRARIES,292 MARINE WAY,JUNEAU,99801,-134.4036617,58.2984755,2,110,JUNEAU,32406,133586.0,17435.0,166821.0,2276470.0,120886.0,9773.0,5204.0,294448.0,24305.0,ZCTA5 99801,30262.0,86240.0,37.3,39926.0,100.0,3504.0,904.0,1496.0,4963.0,2080.0,540.0,241.0,2.0,99801.0,2015.0,0.1159554730983302,4.063079777365491,1.048237476808905,1.7346938775510203,5.75487012987013,2.411873840445269,0.6261595547309833,0.2794526901669759
AK,AK0037,2015,KASILOF PUBLIC LIBRARY,58231 STERLING HIGHWAY,KASILOF,99610,-151.2603381,60.3125872,2,122,KENAI PENINSULA,57477,3177.0,0.0,3312.0,34485.0,12904.0,0.0,164.0,5000.0,387.0,ZCTA5 99610,2326.0,59410.0,45.3,29477.0,13.0,425.0,79.0,179.0,258.0,125.0,36.0,7.0,2.0,99610.0,2015.0,0.0218818380743982,0.7153677832014813,0.1329742467598047,0.3012960781013297,0.4342703248611345,0.2104022891769062,0.060595859282949,0.0117825281939067
AK,AK0038,2015,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,99611,-151.2442311,60.5585732,2,122,KENAI PENINSULA,57477,60721.0,6549.0,71746.0,813093.0,76934.0,9773.0,1762.0,101084.0,12196.0,ZCTA5 99611,15811.0,65325.0,39.0,31999.0,48.0,3067.0,692.0,851.0,1253.0,625.0,98.0,91.0,2.0,99611.0,2015.0,0.0734787600459242,4.694986605434367,1.0593187906620742,1.3027171833141984,1.9181017986988136,0.9567546880979716,0.1500191350937619,0.1393034825870646
AK,AK0039,2015,KETCHIKAN PUBLIC LIBRARY,1110 COPPER RIDGE LANE,KETCHIKAN,99901,-131.650729,55.352711,2,130,KETCHIKAN GATEWAY,13787,79595.0,2349.0,104481.0,1077604.0,60006.0,9707.0,5109.0,97656.0,9076.0,ZCTA5 99901,13717.0,64222.0,38.7,32010.0,25.0,2336.0,731.0,669.0,1465.0,487.0,191.0,74.0,2.0,99901.0,2015.0,0.0389274703372676,3.637382828314285,1.1382392326617048,1.0416991062252812,2.2811497617638814,0.7583071221699729,0.2974058733767244,0.1152253121983121
AK,AK0040,2015,KODIAK PUBLIC LIBRARY,612 EGAN WAY,KODIAK,99615,0.0,0.0,2,150,KODIAK ISLAND,13986,28584.0,30000.0,64434.0,836376.0,73278.0,9773.0,2634.0,150000.0,10187.0,ZCTA5 99615,13197.0,72574.0,32.1,30857.0,49.0,1810.0,351.0,819.0,1534.0,422.0,76.0,40.0,2.0,99615.0,2015.0,0.0675172926943533,2.4940061178934605,0.483644280320776,1.1285033207484774,2.113704632513021,0.5814754595309615,0.1047206988728745,0.0551161573015129
AK,AK0041,2015,CHUKCHI CONSORTIUM LIBRARY,604 THIRD STREET,KOTZEBUE,99752,-162.5928328,66.8970613,2,188,NORTHWEST ARCTIC,7717,14736.0,0.0,19094.0,283431.0,23488.0,0.0,270.0,31300.0,958.0,ZCTA5 99752,3381.0,86797.0,30.1,30541.0,12.0,525.0,132.0,116.0,224.0,72.0,22.0,27.0,2.0,99752.0,2015.0,0.0138253626277405,0.6048596149636508,0.1520789889051464,0.133645172068159,0.2580734357178244,0.0829521757664435,0.0253464981508577,0.0311070659124163
AK,AK0044,2015,MCGRATH COMMUNITY LIBRARY,249 F STREET,MCGRATH,99627,-160.065507,62.909259,2,290,YUKON-KOYUKUK,5547,3022.0,868.0,3890.0,75616.0,14124.0,5.0,13.0,4529.0,270.0,ZCTA5 99627,397.0,63750.0,30.5,27025.0,1.0,68.0,23.0,16.0,28.0,12.0,0.0,0.0,2.0,99627.0,2015.0,0.0015686274509803,0.1066666666666666,0.036078431372549,0.0250980392156862,0.0439215686274509,0.0188235294117647,0.0,0.0
AK,AK0046,2015,CENTENNIAL LIBRARY,4TH & MILTON STREET,METLAKATLA,99926,-131.575207,55.128483,2,198,PR WALES-OUTER KE,6396,5656.0,0.0,6088.0,68248.0,12802.0,9773.0,135.0,3508.0,350.0,ZCTA5 99926,1711.0,51071.0,34.3,22835.0,0.0,374.0,65.0,56.0,66.0,25.0,7.0,0.0,2.0,99926.0,2015.0,0.0,0.7323138375986372,0.127273795304576,0.1096512698008654,0.1292318536938771,0.0489514597325292,0.0137064087251081,0.0
AK,AK0047,2015,MARTIN MONSEN REGIONAL LIBRARY,101 MAIN STREET,NAKNEK,99633,-156.6675022,58.6820703,2,60,BRISTOL BAY,957,12566.0,0.0,15193.0,276195.0,13383.0,0.0,282.0,10247.0,561.0,ZCTA5 99633,567.0,79750.0,41.9,40284.0,0.0,100.0,8.0,26.0,66.0,21.0,0.0,0.0,2.0,99633.0,2015.0,0.0,0.1253918495297805,0.0100313479623824,0.0326018808777429,0.0827586206896551,0.0263322884012539,0.0,0.0
